node_name,price_cpu,price_mem,price_net,price_queue,task_name,updated_time
node1,N/A,N/A,N/A,N/A,simpledetector0,N/A
node2,N/A,N/A,N/A,N/A,simpledetector0,N/A
node3,N/A,N/A,N/A,N/A,simpledetector0,N/A
node1,N/A,N/A,N/A,N/A,aggregate0,N/A
node2,N/A,N/A,N/A,N/A,aggregate0,N/A
node3,N/A,N/A,N/A,N/A,aggregate0,N/A
node1,N/A,N/A,N/A,N/A,aggregate1,N/A
node2,N/A,N/A,N/A,N/A,aggregate1,N/A
node3,N/A,N/A,N/A,N/A,aggregate1,N/A
node1,N/A,N/A,N/A,N/A,astutedetector2,N/A
node2,N/A,N/A,N/A,N/A,astutedetector2,N/A
node3,N/A,N/A,N/A,N/A,astutedetector2,N/A
node1,N/A,N/A,N/A,N/A,globalfusion,N/A
node2,N/A,N/A,N/A,N/A,globalfusion,N/A
node3,N/A,N/A,N/A,N/A,globalfusion,N/A
node1,N/A,N/A,N/A,N/A,aggregate2,N/A
node2,N/A,N/A,N/A,N/A,aggregate2,N/A
node3,N/A,N/A,N/A,N/A,aggregate2,N/A
node1,N/A,N/A,N/A,N/A,simpledetector1,N/A
node2,N/A,N/A,N/A,N/A,simpledetector1,N/A
node3,N/A,N/A,N/A,N/A,simpledetector1,N/A
node1,N/A,N/A,N/A,N/A,fusioncenter0,N/A
node2,N/A,N/A,N/A,N/A,fusioncenter0,N/A
node3,N/A,N/A,N/A,N/A,fusioncenter0,N/A
node1,N/A,N/A,N/A,N/A,astutedetector0,N/A
node2,N/A,N/A,N/A,N/A,astutedetector0,N/A
node3,N/A,N/A,N/A,N/A,astutedetector0,N/A
node2,7.20610687022901,36.31755725190838,node1 2395.7546598012577 node3 1265.9520718138717 home 136.8027531248613 ,0,simpledetector1,31.03.19 01:08:28
node2,7.20610687022901,36.31755725190838,node1 2414.989563243789 node3 1275.2517995403286 home 137.21171870215272 ,0,aggregate2,31.03.19 01:08:28
node1,7.318320610687024,40.830534351145005,node3 1472.1751457245089 home 2542.8203070008053 node2 2343.2227165256227 ,0,simpledetector1,31.03.19 01:08:28
node2,7.20610687022901,36.31755725190838,node1 2520.1097746691794 node3 1326.0682968096025 home 139.45568533994697 ,0,localpro,31.03.19 01:08:28
node1,7.318320610687024,40.830534351145005,node3 1480.0674381534614 home 2559.632737104504 node2 2490.180422826309 ,0,aggregate2,31.03.19 01:08:28
node2,7.20610687022901,36.31755725190838,node1 2394.948875045123 node3 1265.5624807243953 home 136.78563163897647 ,0,globalfusion,31.03.19 01:08:29
node2,7.20610687022901,36.31755725190838,node1 2395.2239827098792 node3 1265.6954933651793 home 136.79147708765186 ,0,astutedetector1,31.03.19 01:08:29
node1,7.318320610687024,40.830534351145005,node3 1523.2170097177097 home 2651.5284293750437 node2 3213.7074139192605 ,0,localpro,31.03.19 01:08:29
node2,7.20610687022901,36.31755725190838,node1 2395.310207983798 node3 1265.737182668062 home 136.79330921085875 ,0,astutedetector0,31.03.19 01:08:29
node1,7.318320610687024,40.830534351145005,node3 1471.844544670355 home 2542.116021545179 node2 2336.970039726347 ,0,globalfusion,31.03.19 01:08:29
node2,7.20610687022901,36.31755725190838,node1 2394.833901076972 node3 1265.5068915869722 home 136.78318871834153 ,0,fusioncenter1,31.03.19 01:08:29
node1,7.318320610687024,40.830534351145005,node3 1471.957416909071 home 2542.3564755848693 node2 2339.105670851268 ,0,astutedetector1,31.03.19 01:08:30
node2,7.20610687022901,36.31755725190838,node1 2395.3841144111593 node3 1265.7729158904053 home 136.79487958989088 ,0,astutedetector2,31.03.19 01:08:30
node1,7.318320610687024,40.830534351145005,node3 1471.9927937895193 home 2542.431839623632 node2 2339.7748430552665 ,0,astutedetector0,31.03.19 01:08:30
node1,7.318320610687024,40.830534351145005,node3 1471.7973727641286 home 2542.015530191085 node2 2336.0772425000646 ,0,fusioncenter1,31.03.19 01:08:31
node2,7.20610687022901,36.31755725190838,node1 2484.1975576928303 node3 1308.7092504697603 home 138.68735481742027 ,0,aggregate0,31.03.19 01:08:31
node1,7.318320610687024,40.830534351145005,node3 1472.0231164555728 home 2542.496436553366 node2 2340.3483414647226 ,0,astutedetector2,31.03.19 01:08:31
node2,7.20610687022901,36.31755725190838,node1 2394.879069674741 node3 1265.5287303007658 home 136.78414844043573 ,0,fusioncenter2,31.03.19 01:08:31
node1,7.318320610687024,40.830534351145005,node3 1508.4724283876844 home 2620.1313112557773 node2 2981.884904105738 ,0,aggregate0,31.03.19 01:08:31
node1,7.318320610687024,40.830534351145005,node3 1471.8159046841467 home 2542.0550091551772 node2 2336.428004982817 ,0,fusioncenter2,31.03.19 01:08:32
node3,16.244615384615386,37.22307692307693,node1 1565.818083971615 node2 1374.5722364145083 home 1284.6383506756436 ,0,simpledetector2,31.03.19 01:08:33
node3,16.244615384615386,37.22307692307693,node1 1570.297113454158 node2 1379.711544629322 home 1291.0679920840153 ,0,aggregate1,31.03.19 01:08:34
node3,16.244615384615386,37.22307692307693,node1 1565.5867554637496 node2 1374.3068303230727 home 1284.3062514555727 ,0,fusioncenter0,31.03.19 01:08:34
node3,16.244615384615386,37.22307692307693,node1 1565.8348415098153 node2 1374.5914626385147 home 1284.6624079838705 ,0,simpledetector0,31.03.19 01:08:34
node3,16.244615384615386,37.22307692307693,node1 1565.8348415098153 node2 1374.5914626385147 home 1284.6624079838705 ,0,simpledetector1,31.03.19 01:08:34
node3,16.244615384615386,37.22307692307693,node1 1571.4432421644503 node2 1381.02677206435 home 1292.7130956983713 ,0,aggregate2,31.03.19 01:08:35
node3,16.244615384615386,37.22307692307693,node1 1602.1168471984597 node2 1416.2477584825585 home 1336.7155544280615 ,0,localpro,31.03.19 01:08:35
node3,16.244615384615386,37.22307692307693,node1 1565.5999236662162 node2 1374.3219383038124 home 1284.3251560276738 ,0,globalfusion,31.03.19 01:08:35
node3,16.26259541984733,37.33129770992367,node1 1565.6801280810523 node2 1374.4139576139783 home 1284.4402991287052 ,0,astutedetector1,31.03.19 01:08:42
node3,16.26259541984733,37.33129770992367,node1 1565.7052661030873 node2 1374.4427987705092 home 1284.4763877216305 ,0,astutedetector0,31.03.19 01:08:42
node3,16.26259541984733,37.33129770992367,node1 1565.566404431489 node2 1374.283481440934 home 1284.2770350319038 ,0,fusioncenter1,31.03.19 01:08:42
node3,16.26259541984733,37.33129770992367,node1 1565.7268127226469 node2 1374.4675194895287 home 1284.507320407828 ,0,astutedetector2,31.03.19 01:08:43
node3,16.26259541984733,37.33129770992367,node1 1591.6333353668667 node2 1404.2052731808428 home 1321.682061664971 ,0,aggregate0,31.03.19 01:08:44
node3,16.26259541984733,37.33129770992367,node1 1565.5795727705938 node2 1374.2985895667416 home 1284.295939813622 ,0,fusioncenter2,31.03.19 01:08:45
home,-1,-1,node1 2554.508610346098 node3 1299.5682244532318 node2 136.96364544313056 ,-1,localpro,31.03.19 01:09:36
node2,7.191044776119405,36.65895522388059,node1 2395.697180520978 node3 1265.924281021663 home 136.80153176416124 ,0,simpledetector2,31.03.19 01:11:25
node2,7.191044776119405,36.65895522388059,node1 2411.059092993129 node3 1273.3515209511363 home 137.12811005637337 ,0,aggregate1,31.03.19 01:11:25
node1,7.310447761194031,40.95447761194026,node3 1472.151562806035 home 2542.7700679533473 node2 2342.7769483439474 ,0,simpledetector2,31.03.19 01:11:25
node2,7.191044776119405,36.65895522388059,node1 2394.9037069536303 node3 1265.540642258785 home 136.78467192342893 ,0,fusioncenter0,31.03.19 01:11:25
node2,7.191044776119405,36.65895522388059,node1 2395.7546598012577 node3 1265.9520718138717 home 136.8027531248613 ,0,simpledetector0,31.03.19 01:11:26
node2,7.191044776119405,36.65895522388059,node1 2395.7546598012577 node3 1265.9520718138717 home 136.8027531248613 ,0,simpledetector1,31.03.19 01:11:26
node1,7.310447761194031,40.95447761194026,node3 1478.4546434576428 home 2556.197210862259 node2 2460.510861215409 ,0,aggregate1,31.03.19 01:11:26
node2,7.191044776119405,36.65895522388059,node1 2414.989563243789 node3 1275.2517995403286 home 137.21171870215272 ,0,aggregate2,31.03.19 01:11:26
node1,7.310447761194031,40.95447761194026,node3 1471.8260129497667 home 2542.076543016769 node2 2336.6193186741634 ,0,fusioncenter0,31.03.19 01:11:27
node2,7.191044776119405,36.65895522388059,node1 2520.1097746691794 node3 1326.0682968096025 home 139.45568533994697 ,0,localpro,31.03.19 01:11:27
node2,7.191044776119405,36.65895522388059,node1 2394.948875045123 node3 1265.5624807243953 home 136.78563163897647 ,0,globalfusion,31.03.19 01:11:27
node1,7.310447761194031,40.95447761194026,node3 1472.1751457245089 home 2542.8203070008053 node2 2343.2227165256227 ,0,simpledetector0,31.03.19 01:11:27
node2,7.191044776119405,36.65895522388059,node1 2395.2239827098792 node3 1265.6954933651793 home 136.79147708765186 ,0,astutedetector1,31.03.19 01:11:27
node1,7.310447761194031,40.95447761194026,node3 1472.1751457245089 home 2542.8203070008053 node2 2343.2227165256227 ,0,simpledetector1,31.03.19 01:11:27
node2,7.191044776119405,36.65895522388059,node1 2395.310207983798 node3 1265.737182668062 home 136.79330921085875 ,0,astutedetector0,31.03.19 01:11:27
node2,7.191044776119405,36.65895522388059,node1 2394.833901076972 node3 1265.5068915869722 home 136.78318871834153 ,0,fusioncenter1,31.03.19 01:11:28
node1,7.310447761194031,40.95447761194026,node3 1480.0674381534614 home 2559.632737104504 node2 2490.180422826309 ,0,aggregate2,31.03.19 01:11:28
node1,7.310447761194031,40.95447761194026,node3 1523.2170097177097 home 2651.5284293750437 node2 3213.7074139192605 ,0,localpro,31.03.19 01:11:28
node2,7.191044776119405,36.65895522388059,node1 2395.3841144111593 node3 1265.7729158904053 home 136.79487958989088 ,0,astutedetector2,31.03.19 01:11:28
node1,7.310447761194031,40.95447761194026,node3 1471.844544670355 home 2542.116021545179 node2 2336.970039726347 ,0,globalfusion,31.03.19 01:11:28
node2,7.191044776119405,36.65895522388059,node1 2484.1975576928303 node3 1308.7092504697603 home 138.68735481742027 ,0,aggregate0,31.03.19 01:11:28
node1,7.310447761194031,40.95447761194026,node3 1471.957416909071 home 2542.3564755848693 node2 2339.105670851268 ,0,astutedetector1,31.03.19 01:11:29
node2,7.191044776119405,36.65895522388059,node1 2394.879069674741 node3 1265.5287303007658 home 136.78414844043573 ,0,fusioncenter2,31.03.19 01:11:29
node1,7.310447761194031,40.95447761194026,node3 1471.9927937895193 home 2542.431839623632 node2 2339.7748430552665 ,0,astutedetector0,31.03.19 01:11:29
node1,7.310447761194031,40.95447761194026,node3 1471.7973727641286 home 2542.015530191085 node2 2336.0772425000646 ,0,fusioncenter1,31.03.19 01:11:30
node1,7.310447761194031,40.95447761194026,node3 1472.0231164555728 home 2542.496436553366 node2 2340.3483414647226 ,0,astutedetector2,31.03.19 01:11:30
node1,7.310447761194031,40.95447761194026,node3 1508.4724283876844 home 2620.1313112557773 node2 2981.884904105738 ,0,aggregate0,31.03.19 01:11:30
node1,7.310447761194031,40.95447761194026,node3 1471.8159046841467 home 2542.0550091551772 node2 2336.428004982817 ,0,fusioncenter2,31.03.19 01:11:31
node3,16.311278195488722,37.543609022556396,node1 1565.818083971615 node2 1374.5722364145083 home 1284.6383506756436 ,0,simpledetector2,31.03.19 01:11:33
node3,16.311278195488722,37.543609022556396,node1 1570.297113454158 node2 1379.711544629322 home 1291.0679920840153 ,0,aggregate1,31.03.19 01:11:33
node3,16.311278195488722,37.543609022556396,node1 1565.5867554637496 node2 1374.3068303230727 home 1284.3062514555727 ,0,fusioncenter0,31.03.19 01:11:34
node3,16.311278195488722,37.543609022556396,node1 1565.8348415098153 node2 1374.5914626385147 home 1284.6624079838705 ,0,simpledetector0,31.03.19 01:11:34
node3,16.311278195488722,37.543609022556396,node1 1565.8348415098153 node2 1374.5914626385147 home 1284.6624079838705 ,0,simpledetector1,31.03.19 01:11:34
node3,16.311278195488722,37.543609022556396,node1 1571.4432421644503 node2 1381.02677206435 home 1292.7130956983713 ,0,aggregate2,31.03.19 01:11:34
node3,16.311278195488722,37.543609022556396,node1 1602.1168471984597 node2 1416.2477584825585 home 1336.7155544280615 ,0,localpro,31.03.19 01:11:35
node3,16.311278195488722,37.543609022556396,node1 1565.5999236662162 node2 1374.3219383038124 home 1284.3251560276738 ,0,globalfusion,31.03.19 01:11:35
node3,16.311278195488722,37.543609022556396,node1 1565.6801280810523 node2 1374.4139576139783 home 1284.4402991287052 ,0,astutedetector1,31.03.19 01:11:35
node3,16.311278195488722,37.543609022556396,node1 1565.7052661030873 node2 1374.4427987705092 home 1284.4763877216305 ,0,astutedetector0,31.03.19 01:11:35
node3,16.311278195488722,37.543609022556396,node1 1565.566404431489 node2 1374.283481440934 home 1284.2770350319038 ,0,fusioncenter1,31.03.19 01:11:35
node3,16.311278195488722,37.543609022556396,node1 1565.7268127226469 node2 1374.4675194895287 home 1284.507320407828 ,0,astutedetector2,31.03.19 01:11:36
node3,16.311278195488722,37.543609022556396,node1 1591.6333353668667 node2 1404.2052731808428 home 1321.682061664971 ,0,aggregate0,31.03.19 01:11:36
node3,16.311278195488722,37.543609022556396,node1 1565.5795727705938 node2 1374.2985895667416 home 1284.295939813622 ,0,fusioncenter2,31.03.19 01:11:36
home,-1,-1,node1 2554.508610346098 node3 1299.5682244532318 node2 136.96364544313056 ,-1,localpro,31.03.19 01:12:36
node2,7.169343065693433,36.98467153284671,node1 2395.697180520978 node3 1265.924281021663 home 136.80153176416124 ,0,simpledetector2,31.03.19 01:14:25
node2,7.169343065693433,36.98467153284671,node1 2411.059092993129 node3 1273.3515209511363 home 137.12811005637337 ,0,aggregate1,31.03.19 01:14:25
node1,7.300000000000001,41.0722627737226,node3 1472.151562806035 home 2542.7700679533473 node2 2342.7769483439474 ,0,simpledetector2,31.03.19 01:14:25
node2,7.169343065693433,36.98467153284671,node1 2394.9037069536303 node3 1265.540642258785 home 136.78467192342893 ,0,fusioncenter0,31.03.19 01:14:25
node2,7.169343065693433,36.98467153284671,node1 2395.7546598012577 node3 1265.9520718138717 home 136.8027531248613 ,0,simpledetector0,31.03.19 01:14:25
node2,7.169343065693433,36.98467153284671,node1 2395.7546598012577 node3 1265.9520718138717 home 136.8027531248613 ,0,simpledetector1,31.03.19 01:14:25
